category_title	category_link	subforum_title	subforum_link	subforum_description	subforum_nb_threads	subforum_nb_comments
diabetes discussion	https://www.diabetes.co.uk/forum/#diabetes-discussion.12	greetings and introductions	https://www.diabetes.co.uk/forum/category/greetings-and-introductions.20/	Introduce yourself to the Diabetes Community. Use this area to say hello and meet people for the first time. Welcome to the Diabetes Forum!	"7,652"	"73,419"
diabetes discussion	https://www.diabetes.co.uk/forum/#diabetes-discussion.12	newly diagnosed	https://www.diabetes.co.uk/forum/category/newly-diagnosed.39/	"If you are newly diagnosed with diabetes and would like to share your experiences or support with other people that have recently been diagnosed, please use this forum."	"5,230"	"72,301"
diabetes discussion	https://www.diabetes.co.uk/forum/#diabetes-discussion.12	diabetes discussions	https://www.diabetes.co.uk/forum/category/diabetes-discussions.1/	"Discuss diabetes issues, get help about diabetes, share your diabetes experiences, offer support, meet other diabetics and learn more about diabetes."	"12,404"	"236,260"
diabetes discussion	https://www.diabetes.co.uk/forum/#diabetes-discussion.12	ask a question	https://www.diabetes.co.uk/forum/category/ask-a-question.15/	"If you have a question relating to your diabetes, managing your diabetes or anything else that is diabetes related, ask the Diabetes Community here."	"27,688"	"262,424"
diabetes discussion	https://www.diabetes.co.uk/forum/#diabetes-discussion.12	type 1 diabetes	https://www.diabetes.co.uk/forum/category/type-1-diabetes.19/	Use this area of the forum for all discussion specifically relating to Type 1 Diabetes.	"12,424"	"182,220"
diabetes discussion	https://www.diabetes.co.uk/forum/#diabetes-discussion.12	insulin pump forum	https://www.diabetes.co.uk/forum/category/insulin-pump-forum.14/	"Forum for insulin pumpers and anyone interested in insulin pumps to discuss pump equipment, advantages, techniques, ask questions and offer support."	"3,488"	"35,869"
diabetes discussion	https://www.diabetes.co.uk/forum/#diabetes-discussion.12	type 2 diabetes	https://www.diabetes.co.uk/forum/category/type-2-diabetes.25/	Use this area of the forum for all discussion specifically relating to Type 2 Diabetes.	"10,543"	"249,119"
diabetes discussion	https://www.diabetes.co.uk/forum/#diabetes-discussion.12	type 1.5/lada diabetes	https://www.diabetes.co.uk/forum/category/type-1-5-lada-diabetes.41/	Use this area of the forum for all discussion specifically relating to Type 1.5/LADA Diabetes.	435	"7,202"
diabetes discussion	https://www.diabetes.co.uk/forum/#diabetes-discussion.12	type 3c (pancreatic) diabetes	https://www.diabetes.co.uk/forum/category/type-3c-pancreatic-diabetes.73/	"Forum to ask questions, find support and share experiences with people with Pancreatic Diabetes (aka Type 3c Diabetes)."	94	"1,194"
diabetes discussion	https://www.diabetes.co.uk/forum/#diabetes-discussion.12	prediabetes	https://www.diabetes.co.uk/forum/category/prediabetes.40/	An area of the forum dedicated to the discussion and experience of Prediabetes and Borderline Diabetes.	"1,281"	"17,481"
diabetes discussion	https://www.diabetes.co.uk/forum/#diabetes-discussion.12	gestational diabetes	https://www.diabetes.co.uk/forum/category/gestational-diabetes.21/	Discuss all aspects of Gestational Diabetes and gestational diabetes problems.	259	"1,748"
diabetes discussion	https://www.diabetes.co.uk/forum/#diabetes-discussion.12	reactive hypoglycemia	https://www.diabetes.co.uk/forum/category/reactive-hypoglycemia.70/	A forum to discover and discuss blood group disorders where hypoglycemic episodes are symptomatic.	343	"7,416"
