,sentence,has_requirement_words,without_stop_words,lemmatized_words,pos_tags
0,"hi and welcome, the first thing to do is ring the surgery receptionist and ask if you can have a print out of the test results ",1,"['hi', 'welcome', 'first', 'thing', 'ring', 'surgery', 'receptionist', 'ask', 'print', 'test', 'results']","['hi', 'welcome', 'first', 'thing', 'ring', 'surgery', 'receptionist', 'ask', 'print', 'test', 'result']","[('hi', 'NN'), ('and', 'CC'), ('welcome', 'NN'), (',', ','), ('the', 'DT'), ('first', 'JJ'), ('thing', 'NN'), ('to', 'TO'), ('do', 'VB'), ('is', 'VBZ'), ('ring', 'VBG'), ('the', 'DT'), ('surgery', 'NN'), ('receptionist', 'NN'), ('and', 'CC'), ('ask', 'VB'), ('if', 'IN'), ('you', 'PRP'), ('can', 'MD'), ('have', 'VB'), ('a', 'DT'), ('print', 'NN'), ('out', 'IN'), ('of', 'IN'), ('the', 'DT'), ('test', 'NN'), ('results', 'NNS')]"
1,this ought not to be refused ,0,"['ought', 'refused']","['ought', 'refused']","[('this', 'DT'), ('ought', 'MD'), ('not', 'RB'), ('to', 'TO'), ('be', 'VB'), ('refused', 'VBN')]"
2,you can then pop down and collect it ,0,"['pop', 'collect']","['pop', 'collect']","[('you', 'PRP'), ('can', 'MD'), ('then', 'RB'), ('pop', 'VB'), ('down', 'RP'), ('and', 'CC'), ('collect', 'VB'), ('it', 'PRP')]"
3,"failing that, ask her what the glucose test and hba1c (if there was one) were ",1,"['failing', 'ask', 'glucose', 'test', 'one']","['failing', 'ask', 'glucose', 'test', 'one']","[('failing', 'VBG'), ('that', 'IN'), (',', ','), ('ask', 'VB'), ('her', 'PRP'), ('what', 'WP'), ('the', 'DT'), ('glucose', 'JJ'), ('test', 'NN'), ('and', 'CC'), ('hba1c', 'NN'), ('(', '('), ('if', 'IN'), ('there', 'EX'), ('was', 'VBD'), ('one', 'CD'), (')', ')'), ('were', 'VBD')]"
4,then you can let us know the figures and we can help you ,0,"['let', 'us', 'know', 'figures', 'help']","['let', 'u', 'know', 'figure', 'help']","[('then', 'RB'), ('you', 'PRP'), ('can', 'MD'), ('let', 'VB'), ('us', 'PRP'), ('know', 'VB'), ('the', 'DT'), ('figures', 'NNS'), ('and', 'CC'), ('we', 'PRP'), ('can', 'MD'), ('help', 'VB'), ('you', 'PRP')]"
5,"please never accept a medic's word that you are ""fine"" or ""ok"" ",0,"['please', 'never', 'accept', 'medic', 'word', 'fine', 'ok']","['please', 'never', 'accept', 'medic', 'word', 'fine', 'ok']","[('please', 'VB'), ('never', 'RB'), ('accept', 'VB'), ('a', 'DT'), ('medic', 'NN'), (""'s"", 'POS'), ('word', 'NN'), ('that', 'IN'), ('you', 'PRP'), ('are', 'VBP'), ('``', '``'), ('fine', 'JJ'), (""''"", ""''""), ('or', 'CC'), ('``', '``'), ('ok', 'JJ'), (""''"", ""''"")]"
6,always ask for the results ,1,"['always', 'ask', 'results']","['always', 'ask', 'result']","[('always', 'RB'), ('ask', 'VB'), ('for', 'IN'), ('the', 'DT'), ('results', 'NNS')]"
7,"you may well be within the normal range, but very much teetering on the edge or increasing test by test ",1,"['may', 'well', 'within', 'normal', 'range', 'much', 'teetering', 'edge', 'increasing', 'test', 'test']","['may', 'well', 'within', 'normal', 'range', 'much', 'teetering', 'edge', 'increasing', 'test', 'test']","[('you', 'PRP'), ('may', 'MD'), ('well', 'RB'), ('be', 'VB'), ('within', 'IN'), ('the', 'DT'), ('normal', 'JJ'), ('range', 'NN'), (',', ','), ('but', 'CC'), ('very', 'RB'), ('much', 'JJ'), ('teetering', 'NN'), ('on', 'IN'), ('the', 'DT'), ('edge', 'NN'), ('or', 'CC'), ('increasing', 'VBG'), ('test', 'NN'), ('by', 'IN'), ('test', 'NN')]"
8,"the labs highlight any results outside the normal standard range, and these are all the doctors look at ",0,"['labs', 'highlight', 'results', 'outside', 'normal', 'standard', 'range', 'doctors', 'look']","['lab', 'highlight', 'result', 'outside', 'normal', 'standard', 'range', 'doctor', 'look']","[('the', 'DT'), ('labs', 'JJ'), ('highlight', 'NN'), ('any', 'DT'), ('results', 'NNS'), ('outside', 'IN'), ('the', 'DT'), ('normal', 'JJ'), ('standard', 'NN'), ('range', 'NN'), (',', ','), ('and', 'CC'), ('these', 'DT'), ('are', 'VBP'), ('all', 'PDT'), ('the', 'DT'), ('doctors', 'NNS'), ('look', 'VBP'), ('at', 'IN')]"
9,"they don't notice anything else this is taking control of your own health, which these days we do need to do ",1,"['notice', 'anything', 'else', 'taking', 'control', 'health', 'days', 'need']","['notice', 'anything', 'else', 'taking', 'control', 'health', 'day', 'need']","[('they', 'PRP'), ('do', 'VBP'), (""n't"", 'RB'), ('notice', 'VB'), ('anything', 'NN'), ('else', 'RB'), ('this', 'DT'), ('is', 'VBZ'), ('taking', 'VBG'), ('control', 'NN'), ('of', 'IN'), ('your', 'PRP$'), ('own', 'JJ'), ('health', 'NN'), (',', ','), ('which', 'WDT'), ('these', 'DT'), ('days', 'NNS'), ('we', 'PRP'), ('do', 'VBP'), ('need', 'DT'), ('to', 'TO'), ('do', 'VB')]"
10,we can all live healthier!,0,"['live', 'healthier']","['live', 'healthier']","[('we', 'PRP'), ('can', 'MD'), ('all', 'DT'), ('live', 'JJ'), ('healthier', 'NN'), ('!', '.')]"
11,"are you eating a lot of fruit, breakfast cereals, pasta and rice?",0,"['eating', 'lot', 'fruit', 'breakfast', 'cereals', 'pasta', 'rice']","['eating', 'lot', 'fruit', 'breakfast', 'cereal', 'pasta', 'rice']","[('are', 'VBP'), ('you', 'PRP'), ('eating', 'VBG'), ('a', 'DT'), ('lot', 'NN'), ('of', 'IN'), ('fruit', 'NN'), (',', ','), ('breakfast', 'NN'), ('cereals', 'NNS'), (',', ','), ('pasta', 'NN'), ('and', 'CC'), ('rice', 'NN'), ('?', '.')]"
12,"if so, these are not healthy choices for diabetics ",0,"['healthy', 'choices', 'diabetics']","['healthy', 'choice', 'diabetic']","[('if', 'IN'), ('so', 'RB'), (',', ','), ('these', 'DT'), ('are', 'VBP'), ('not', 'RB'), ('healthy', 'JJ'), ('choices', 'NNS'), ('for', 'IN'), ('diabetics', 'NNS')]"
13,i will tag atdaisy1 who has excellent information for newly diagnosed ,0,"['tag', 'excellent', 'information', 'newly', 'diagnosed']","['tag', 'excellent', 'information', 'newly', 'diagnosed']","[('i', 'NN'), ('will', 'MD'), ('tag', 'VB'), ('atdaisy1', 'NN'), ('who', 'WP'), ('has', 'VBZ'), ('excellent', 'JJ'), ('information', 'NN'), ('for', 'IN'), ('newly', 'RB'), ('diagnosed', 'VBN')]"
14,"please take your time to read it and follow the links she gives, paying particular attention to the role of carbs ",1,"['please', 'take', 'time', 'read', 'follow', 'links', 'gives', 'paying', 'particular', 'attention', 'role', 'carbs']","['please', 'take', 'time', 'read', 'follow', 'link', 'give', 'paying', 'particular', 'attention', 'role', 'carbs']","[('please', 'VB'), ('take', 'VB'), ('your', 'PRP$'), ('time', 'NN'), ('to', 'TO'), ('read', 'VB'), ('it', 'PRP'), ('and', 'CC'), ('follow', 'VB'), ('the', 'DT'), ('links', 'NNS'), ('she', 'PRP'), ('gives', 'VBZ'), (',', ','), ('paying', 'VBG'), ('particular', 'JJ'), ('attention', 'NN'), ('to', 'TO'), ('the', 'DT'), ('role', 'NN'), ('of', 'IN'), ('carbs', 'NN')]"
15,let us know how you go on ,1,"['let', 'us', 'know', 'go']","['let', 'u', 'know', 'go']","[('let', 'VB'), ('us', 'PRP'), ('know', 'VB'), ('how', 'WRB'), ('you', 'PRP'), ('go', 'VBP'), ('on', 'IN')]"
16,i'll give it a go ,0,"['give', 'go']","['give', 'go']","[('i', 'NN'), (""'ll"", 'MD'), ('give', 'VB'), ('it', 'PRP'), ('a', 'DT'), ('go', 'NN')]"
