thread_id,title,author,startDate,replies,views,question
thread-66574,Have you been told not to test your blood sugars?,desidiabulum,"Oct 30, 2014","1,020","329,345","This is not about whether the NHS should, or can afford to, provide test strips on a permanent or temporary basis to non-T1 diabetics. Having read #EveryCloud s post, and so many more like it over the years on this forum, I wonder whether we could gather together examples of Healthcare Professionals who have told people that it is either unnecessary or just plain wrong to test their blood sugars. It is a scandal that needs highlighting. I intended this just as an unscientific attempt to get a rough sense of the nature and scale of the problem -- I'm sure that we can all agree that it is a serious issue. Anecdotal detail may be as useful as poll statistics in that sense. I'm very aware that the issue is only raised if the newly diagnosed know to ask about testing in the first place -- in most cases it is possible that the issue never arises as testing is never mentioned by the HCP. That makes a nonsense of NICE guidelines about diabetes management. There are plenty of ways of then raising it as a point of broader concern, both within DUK and elsewhere (I don't personally think an open letter would be the best way -- I would hope to use DUK Involvement Network in the first instance -- but others may think differently). I would hope that this is a matter where we can all agree that we need to help our fellow-diabetics."
thread-77345,What is a normal result for finger prick test?,minniemoo,"May 18, 2015",11,"115,825","Hi can anyone help please. I just had a finger prick blood test at the hosp last fri and the nurse said it was ""10"". Can someone tell me what this means on the scale of diabetic results? Thanks Hi thanks everyone for your help. I didn't put much info in my earlier post as I am new to this forum thing. So here it is. I was diagnosed with type 2 a couple of years ago (think my reading was about 90) but I am only know trying to learn more about it. At the time I was diagnosed I didn't get much information, my GP just told me to lose weight which I did on a low fat diet (lost 2 stone) and 6 months later he told me my results were normal (about 45). However after some bad family related news I gave up looking after myself and consequently put the weight back on. I haven't been back to the docs for a while so he doesn't know this. The finger prick test I had done at the hosp was part of pre-op testing for a completely unrelated op on my nose. I am now trying to get back on the weight loss track and after finding this site recently have discovered that low carb / high protein seems to be recommended so that is the way I am going to go. Wish me luck !!"
thread-156249,Highest/lowest Reading,alphabeta,"Sep 10, 2018",325,"115,280","What was your highest and lowest reading today? Lowest: 138 mg/dl Highest: 191 mg/dl Not the best control, I try to achieve a tighter control with highest being 175 mg/dl but still increasing Lantus. Tipetoo said: Low 5.1 fasting. High 5.4 after breakfast. That's all I have got for today so far. Click to expand... Virtually the same! Prem51 said: Yesterday my lowest reading, before evening meal was 5.7. My highest 2 hours after eating was 7.7. Click to expand... Nice numbers! Rokaab said: Yesterday lowest was about 4 sometime in the middle of the night, highest was 17 about 2-3 hours after breakfast - thanks Novosluggish! Today lowest was about 4 a bit before I woke up and highest was 11 about 2 hours after breakfast and is back down to about 6 now (4 hours after breakfast) - noting that the breakfast was exactly the same as yesterday. Click to expand... Wooooow I have 250 units if NovoRapid left but I am really questioning if I want those. O_DP_T1 said: It's been a bit mental today highest was about 9.9 when I got up, miscalculated last nights meal. Lowest on the tube to work 2.2 over corrected. Currently sitting at around 4.4 with 0.25 units on board. Click to expand... 2.2! Wow that is very scary. Hope you are good now! Yesterday: Lowest: 9.0 Highest: 13.6 Keep it going guys! I'm quite surprised and impressed with such control you guys have! Well I had a cheat day speaking of which, do you guys just eat the whole shop without bolusing? Kinda did so today and my sugar spiked from 7.2 to 16.4. Naughty me"
thread-156326,Amount Of Protein To Eat Daily,Motherhen2014,"Sep 12, 2018",34,"118,431","I have been reading up on protein and what the guide lines are for the amount we should eat on low carb. It says 100 gems or 3. 1/2 ounces, that seems very little. I love my food and need to keep kidneys healthy. So should I use these guidelines as I thought having no carbs one could eat what you want. I am on pure lemon juice in water as soon as I get up and I can say it has curbed my desire for sweet food. Is it possible to buy a plate that has sections for protein veg and starch I think there used to be one think I need this plate friends. But isnt meat all protein. Oh dear does that means that I have to know the protein of everything I eat and I can only have 100gms a day . I thought protein was meat poultry fish any of that was protein gee I am doing it all wrong hmm Ok thank you for this I am going to look into it further. Xxx Thank you for this so grateful for all your help Yes I do have chronic kidney disease stage 3 my kidneys are only work at 33 percent. I was. told to give up salt which I have and although dictor says they are holding their own as he put it, I am trying to get things right in what I am eating to help them keep steady. I know my doctor says they get worse as we age but. I am trying to keep them going. X"
thread-79346,Falling asleep after eating,Lilliepop,"Jun 25, 2015",14,"142,020","Hello. I think I have ask ask about this problem before but now it's much worst. I used to fall asleep after eating anything with sugar after about half an hour, now I am dropping off to sleep after eating anything and almost straight away. I just did it to day had some cottage cheese and ham and when I finished just went to sleep it's like almost passing out I was sitting up looking on my PC. It's horrible. Was wondering if anyone has this problem or what is making me do this? My husband used to think it funny but now he doesn't it's worrying. Also I have a slight headache when I come round like a bit of a hangover. I have one Dr saying I'm prediabetic and another one at the hospital saying I'm not. Yes but you feel good when you wake up I feel dreadful. Are you prediabetic? How long have you done this? And is it after eating anything say cheese for instance no carbs? Thank you very much for your reply. I do test my blood but only two hours after eating but next time I will test it when I feel sleepy and when I wake up good idea. I know wheat gluten and sugar do make it a lot worst never eat wheat or gluten if I can help it. Sugar is a killer. Well let you know how it goes."
thread-32865,Blood Reading of 6.8 - Is This Normal?,Azzy1,"Sep 10, 2012",21,"139,577","Hello all, I am after a bit of advice on an issue. If anyone can give me any information that would be great as I know nothing on this subject. I have just spoken to a doctors receptionist with regard to blood tests I had last week (no doctor available). What she has told me has given me concern. Apparently I need to redo one of my tests and have a fasting blood test as the figure which I registered was 6.8. Is 6.8 high? I had the blood test at 08:20 AM just 30 minutes after eating two Weetabix for breakfast. I also had a cup of coffee. No additional sugar was added to the Weetabix or coffee. I am a 39 year old male who weighs 11st 10lbs. I play football once per week, mountain bike once per week and eat and drink quite healthily. My father has diabetes and hypertension and I have been on medication for hypertension since being 29 years old, hence why I try to keep relatively fit and keep my weight down. Any advice or reassurance would be greatly appreciated. Thank you. Craig Last week I had a 'fasting' blood test where the result came back as 5mmol/l. As I put in my original email, I knew nothing about diabetes but having read about it in the last week or so I am beginning to realise what kind of ailment it is and how much time and effort people have to spend to maintain their health. Many thanks for your answers. Cheers Craig"
thread-74431,Hot flushes after eating?,plonkish_,"Mar 28, 2015",40,"153,274","I looked to see if this was discussed before on this forum rather than starting a new thread, but seemed to get linked to threads about other illnesses. I think this is connected to diabetes though. Sometimes after eating I get really hot. So hot it's like a fever and you can feel the heat radiating out of the top of my head! I get all red and my neck feels hot too. It happens quite soon after a meal and can last an hour or so. It doesn't always happen either. Googling has landed me with some quite alarming diagnoses that have nothing to do with food but I'm certain it's related to meals because of the timing. Obvious next step is to ask the doctor, but wondered if it is something other people have experienced. I'm type 2 newly diagnosed on LCHF for about a month. Thankyou both! Hello Catherine, that certainly sounds like it! I don't like the suggestion that it could be linked to kidney problems but it did mention cheese and vinegar as triggers (and I had both before the last episode). Jack, I've looked that up too and it's certainly a possibility. I'm very new to diabetes and trying to avoid going on medication but so much is trial and error at this stage! I'm keeping a diary of BG levels and food I eat. I think I'll add hot flushes to this and see if I notice a pattern! They have so far only taken my blood for BG tests. In fact I've yet to see a doctor. I was diagnosed and notified by a combination of the surgery receptionist and a nurse. I'm due back for the three month tests, and I'll go armed with questions! Thank you Gemma. I had baked camembert (a whole one) with salad then not long after my head felt like a volcano! So it could be. This is recent though, I didn't have this problem before. I love cheese so rather hoping this isn't it I don't either! But I will ask my doctor soon. I had a small amount of cheese at lunchtime and ended up with a hot flush about half an hour later. But, I'm certain there was also vinegar in the salad so not very scientific! I may experiment with some cheddar in a moment...watch this space Were you lol i love cheese. It didn't seem to be the cheese this time Gemma. At least not cathedral city cheddar Hope so!"
thread-156210,Why Lchf And Not Just Lc?,MikeyJ,"Sep 9, 2018",18,"101,077","Hi, LCHF is promoted on this forum and with excellent results but I was just wondering why does the fat content have to be high? As a T2 I struggle to tolerate sugar and carbs so this is what needs to be addressed, not sure why I need to seek to increase fats over and above those naturally present in diet regime that reduces carbs? Thanks @Brunneria , just thinking the seeking 'High Fat' message isn't quite correct, it's more don't unduly worry about the fat content Thanks @Mbaker , I like the 'Healthy' fat branding much better than 'High' fat Very helpful thank you @There is no Spoon . I think the 'high fat' does spook some people especially if they have associated cholesterol issues so 'healthy' fat woks for me I recall when new to diagnosis reading posts on here about Bullet Proof coffee and when I looked up the recipe I felt instantly sick!!! Healthy fat is a much gentler introduction for newbies Guzzler said: I have bulletproof every morning, I love it but I had been diagnosed a year before I tried it because, like you, I was put off by the recipe and thought I might as well drink liquid lard! But, like I say, I adore it. Basically, we have two sources of fuel for the body and they are fats and carbohydrates. If we cut down on one source of fuel it must be replaced by the other or we simply run out of fuel. The fats can come from two sources, that which we have stored in our bodies and that which we eat. It is logical to use excess fats stored in the body rather than to keep adding to those stored fats which just make us heavier and sicker but it is not dietary fats that add to our weight, it is the carbs that add to our stores and raise our bg to harmful levels. The 'High fat' part of LCHF is only high when directly compared to the (very) low fat diet we have come to think of as normal over the last few decades. I have deliberately left out protein in this because protein has a far more important role in growth and repair and although it can be used as a fuel it is better suited to these purposes. As to cholesterol, the human body manufacturers it, in fact all but a couple of types of cells in the body can make it and it is vital for life. Dietary cholesterol (from animal fats) makes up at most 15% of total body cholesterol the other 85% is made by the body. We can absorb a few plant sterols in passing but these are so few it is hardly worth mentioning. Click to expand... Thanks, i'm not sure i'll take 'liquid lard' for breakfast anytime soon but hats off to you for going there and liking it"
thread-156343,Diabetic Retinopathy Screening,Ian McG,"Sep 13, 2018",41,"202,564","Hi all. Newly diagnosed T1D here, about a month ago, with a HbA1c of 124 on diagnosis. Clearly had been diabetic for months without realising. I have had most of the required health checks done to ensure I did not do any damage with such a high HbA1C for god knows how long. The last think to check are my eyes. I mentioned getting an appointment to my DSN yesterday and she said I could just arrange it with any of the local opticians boots, specsavers etc... is that accurate? I was under the impression it had to be organised through the NHS and done in specialised NHS locations? Thanks for your help in advance! Ian My experience has not been great so far. Was send to A&E by GP as had ketones in my urine and after a night on a drip and been shown how to use the insulin pens was discharged with basic info, they even tried to discharge me without my insulin as it was not ready and told me to pick it up the following day Then I had to wait 5 weeks to see the DSN (been told it might be over 6 months to see the endocrinologist) and the meeting was not exactly useful so not too surprised she did not mention retinal screening until asked. I also enquired about DAFNE course but was told it would be 6 months before she would put me on the list as they wanted to be sure about the type of Diabetes I have. This despite the fact I have never had a % body fat above 12% as I am an exercise nut and watch what I eat. Also I was positive on the antibody test so pretty clearly type 1. Blood sugar levels are already under control at least, as I entered a honeymoon phase after a week on insulin, getting by on only a few units of Basal and could probably get by without Bolus at meals if I don't eat more than 30/40g of carbs. I realise this wont last forever though. I will talk to my GP he is usually pretty good so maybe he can refer me."
thread-11031,Giving advice to new members,sugarless sue,"Oct 17, 2009",0,"43,909","To all our highly researched and well controlled diabetics on the forum When advising diabetics, even if it is in answer to a post by an experienced diabetic, please remember that this forum is read by newly diagnosed as well. You may have got your numbers very low but for someone who is high then this is like shooting for the moon! The advice to get to the NICE guidelines is do-able for most newly diagnosed. Once they get their levels down to that level, then they can try for the lower levels as, by this time, they will have got some idea on diet etc. and more experience in just what diabetes is. Similarly on diet, yes, you may have a diet that controls your diabetes successfully but did you start there? Reducing down gradually is more likely to be permanent and a life style change than trying to go ultra- low immediately and perhaps failing and feeling guilty about it. On testing, please remember when you were first diagnosed. Newly diagnosed diabetics need to test frequently to find out what the food they are eating is doing to their blood sugar levels.This means testing before a meal and two hours after. Testing after three hours is advised if eating food with a heavy fat content is eaten because fat slows down the absorption rate of some foods.One hour testing, looking for spikes in blood sugar can be useful as well. Newly diagnosed diabetics need time to acclimatise to their condition and small steps at a time are more likely to succeed than very large steps. Similarly advising that certain low numbers are ok just because you have attained them is very disheartening for someone confused and inexperienced. Being confused immediately after a diagnosis is very common."
