sentences_parsed,Expresses a need?
be careful where alcohol is concerned.,0
i get burning feet and sensations in my legs.,0
i think it looks daft.,0
so as you say maybe 'there' lies the answer?,0
after all i was in control.,0
has she been drinking enough?,0
don't know anyone else who has.,0
https://www.facebook.com/diabetes.c....157722.85975211995/10152904085126996/?type=1,0
"however, this was 24 hours without food.",0
but this constipation is really is getting me down.,0
thanks for your help.,0
seems new balance do some but cant find any other.,1
i honestly don't know what to do anymore.,1
i have recently started monitoring the carb situation.,0
thanks for the response.,0
you get everything below: the complete acid-alkaline diet simplified!,0
i no longer take statins.,0
thanks to everyone who replied.,0
is there anyone who has same problem.,1
"its importance in treating diabetic neuropathy cannot be overstated. """,0
and i'm still hungry.,0
good luck and let us know how you get on.,0
i am also on metformin.,0
my downfall is cappuccino.,0
can taking statins increase the risk of getting t2 diabetes?,1
very sorry you're having such rotten times.,0
i find if i move it wakes me.,0
have you had your kidneys checked recently?,0
what is the best type of flour to use?,1
i was diagnosed accidentally in 1997 with type 2 diabetes.,0
so was the test fasting?,0
my fasting glucose in the morning was always fine.,0
when they sorted that out - they were marvellous.,0
click to expand... hmm.,0
but my triglyceride 0.49 is marked as abnormal.,0
they don't stick on as well.,0
xfieldok said: i was at those levels at dx.,0
"i am type 2, 500mg metformin a day.",0
so all and any advice is welcome.,1
not wanting to eat is a new thing for me.,0
read more on getting access to blood glucose testing supplies .,0
you do not need to trust on me.,0
is this a symptom of diabetes?,1
my once stable eyeglasses prescription has been getting slightly worse.,0
"these sound very promising, thanks for that!",0
thanks again for the replies!,0
sounds dramatic but its true.,0
her urine was clear and not too concentrated.,0
so what do you personally class as a sweet vegetable?,0
thanks for your replies.,0
"yes they are naughty, so grateful for these forums!",0
i can only ask can't i?,1
sent from the diabetes forum app,0
control is the key to living with the condition.,0
i find this incredible.,0
just make yourself comfy.,0
how come it didnt spike me?,1
but isnt meat all protein.,1
hope you are not more confused than you were.,0
kentoldlady1 said: hi.,0
im fed up smiling sweetly and agreeing.,0
so i wanted to vent here instead.,0
means so much as i thought no one would bother!,0
regards bdav thank everyone for your comments i appreciate them.,0
i just eat to my meter.,0
click to expand... good luck with that next week.,0
http://www.livestrong.com/article/162603-how-to-gain-weight-for-a-low-carb-diabetic/ has anyone tried l-tryptophan ?,0
fbg/pre-breakfast bg was 124 mg/dl (6.9 mmol/l).,0
how close are we!!!,0
i'm not sure what to do.,1
that works for me!,0
got to ask what's a basal test?,1
thanks very much everyone.,0
thank-you very much for your reply.,0
i'll let you know how i get on.,0
my sugar reading in the evening roses to 22.,0
thanks in advance to anyone taking the time to reply.,0
great to see you really paying attention to you bsls.,0
:lol: bigfatpaulie said: oh god yes!!,0
i hope that made sense.,0
thank you for this advice.,0
i havent been eating like this everyday.,0
wasn't sure where else to post.,1
"""i must look after my insulin !""",0
it comes down to greed and profiteering.,0
please don't judge me harsh or anything.,0
please help me someone!,0
i do empathize with your hypoglycemic episodes.,0
lower back pain too.,0
more and more insulin.,0
what should been after 6 hours after a meal.,1
"do polyps count as sugar, carbohydrate or both?",1
arrrrggghhhhh!!!!!!,0
any advice would be very helpful thanks in advance.,0
i live of pasta potato rice etc.,0
helensaramay said: i do not use the libre ...,0
i found them very helpful.,0
"any thoughts, advice or insights would be greatly appreciated.",1
levels return to normal 2-3 hours after eating.,0
i don't snack.,0
thanks you xxx thank you very much appreciated!,0
i'm in northern ireland.,0
thank you so much for your swift reply.,0
thank you all for responding.,0
this forum is great and worked wonders for me.,0
thanks for the info.,0
click to expand... no not really.,0
what do i do???,1
is there anything i can do to change it?,1
so i was given galvus met.,0
hardest thing will be the elimination of all fruit.,0
i really just don't know what to do anymore.,1
hi folks hope you can help.,1
have small pieces every couple of hours.,0
sorry for the long winded nature :?,0
ruthw said: it is nonsense.,0
"""i must look after my insulin !""",0
is this due to the carbs/sugar i just ate?,0
thanks thanks for all you replies,0
i wonder who checks the mercury one then?,1
not to mention slimming products and weight loss programmes etc.,0
but i am still worry.,0
