id,content
title,LADAs preserving their beta cells
question,"Starting a new thread for clarity. 

So today the consultant said, Yes, absolutely no proof abt what LADAs should do to preserve their beta cells, but also Yes, correct that I have nothing to lose by trying low doses of insulin to see if that helps beta cells. 

So I am trying out teeny doses (4-6 units) of slow-acting basal insulin in the morning. (Though it might be more logical to do it at night.) And I'll see what it does to my numbers. This is Insulatard, ie NPH, the old-fashioned intermediate insulin that Bernstein doesn't like. 

BTW the doc said total daily use of  insulin (whether home-produced or injected) is about 0.7 units/kg per day. So my pancreas has been producing c. 52units/day - so 4 units is about 7%. Just to give a sense of perspective. That's small. 

I've stopped the Metformin, on the grounds that it's supposed to be for insulin resistance and as a LADA I may not have that. Average waking BS this past week 6.3. Not much sign of increase though. 

LADA, 55, BMI 23, moderately active. Diagnosed Type 1 in July 2014 after GAD antibody test. HbA1c down from 117 /12.9% to 78 / 9.3% and dropping. Average fasting a.m. BS currently 6.3. 
Now on LCHF plus a bit of ex, plus one small daily dose of Insulatard (slow-acting basal insulin) every morning."
comment 1: ,"Starting a new thread for clarity. 

So today the consultant said, Yes, absolutely no proof abt what LADAs should do to preserve their beta cells, but also Yes, correct that I have nothing to lose by trying low doses of insulin to see if that helps beta cells. 

So I am trying out teeny doses (4-6 units) of slow-acting basal insulin in the morning. (Though it might be more logical to do it at night.) And I'll see what it does to my numbers. This is Insulatard, ie NPH, the old-fashioned intermediate insulin that Bernstein doesn't like. 

BTW the doc said total daily use of  insulin (whether home-produced or injected) is about 0.7 units/kg per day. So my pancreas has been producing c. 52units/day - so 4 units is about 7%. Just to give a sense of perspective. That's small. 

I've stopped the Metformin, on the grounds that it's supposed to be for insulin resistance and as a LADA I may not have that. Average waking BS this past week 6.3. Not much sign of increase though. 

LADA, 55, BMI 23, moderately active. Diagnosed Type 1 in July 2014 after GAD antibody test. HbA1c down from 117 /12.9% to 78 / 9.3% and dropping. Average fasting a.m. BS currently 6.3. 
Now on LCHF plus a bit of ex, plus one small daily dose of Insulatard (slow-acting basal insulin) every morning.
"
comment 2: ,"Hi Lucy
This sounds very good, very encouraging. From what my dsn said, 3 to 4 units sounds a lot (eg she said 1 unit would Lower my BS levels by 3 points). But a slow acting insulin, instead of fast sounds more appropriate. Please keep us up to date with how you get on with the insulin, and whether you are still LcHf (dr Bernstein diet). 


Diagnosed T2 in sept 2013, BS levels 20+. BMI 22, age 58. Requested a GAD test in November, came back very high 2,000+, doc said I would be T1 within weeks, but presently still LADA. On a LcHf diet taking no insulin or medication, and striving to keep my BS readings as low as possible in order to keep as many insulin making pancreas beta cells as possible for as long as I can.
Sent from the Diabetes Forum App
"
comment 3: ,"Hi Ian, 

Definitely sticking with LCHF into the hereafter! I'm trying to follow Bernstein's broad outlines, but slightly different carb makeup, eating more than his one cup salad or veg, because I just get too hungry. Last week, following his precept not to stuff oneself à la Chinese meal syndrome, I got so hungry that I snacked on nuts before supper three days running. Which is extra carbs. So going back to having enough greens to feel satisfied. 

I honestly don't know what to expect with the 4u Insulatard. We'll have to see. I have Dextrosols. I know absolutely nothing about how the various types of insulin behave. 
Let's see ... 

Lucy


LADA, 55, BMI 23, moderately active. Diagnosed Type 1 in July 2014 after GAD antibody test. HbA1c down from 117 /12.9% to 78 / 9.3% and dropping. Average fasting a.m. BS currently 6.3. 
Now on LCHF plus a bit of ex, plus one small daily dose of Insulatard (slow-acting basal insulin) every morning.
"
comment 4: ,"I will have to read his salad guidelines again. My understanding is one cup = 6g carbs, therefore 2 cups are ok since you can have 12g x 2 meals per day and 6g the other.


Diagnosed T2 in sept 2013, BS levels 20+. BMI 22, age 58. Requested a GAD test in November, came back very high 2,000+, doc said I would be T1 within weeks, but presently still LADA. On a LcHf diet taking no insulin or medication, and striving to keep my BS readings as low as possible in order to keep as many insulin making pancreas beta cells as possible for as long as I can.
Sent from the Diabetes Forum App
"
comment 5: ,"That's right, but I took fright at the bit where he says that eating till you really feel full expands the upper intestine and therefore rockets your BS regardless of limited carb content. The Chinese restaurant point. But that probably just needs to be tested, depending on the person. 

But I am feeling rather hungry these days. I'll have to solve that. I've got addicted to macadamia nuts. 

In general Dr B's method clearly makes excellent sense. A question of finding a practical but productive version of it. 


LADA, 55, BMI 23, moderately active. Diagnosed Type 1 in July 2014 after GAD antibody test. HbA1c down from 117 /12.9% to 78 / 9.3% and dropping. Average fasting a.m. BS currently 6.3. 
Now on LCHF plus a bit of ex, plus one small daily dose of Insulatard (slow-acting basal insulin) every morning.
"
comment 6: ,"Sounds like you have a good consultant. Good idea to start some insulin with an initial low Basal dose. See how it goes
"
comment 7: ,"Well, 4 units was too much. Mid-afternoon BS was 4.2, compared to  5.5 or so normally. End result, I had to eat an extra meal ( a large snack).  

Trying again tomorrow with 2 units. 

Lucy 


LADA, 55, BMI 23, moderately active. Diagnosed Type 1 in July 2014 after GAD antibody test. HbA1c down from 117 /12.9% to 78 / 9.3% and dropping. Average fasting a.m. BS currently 6.3. 
Now on LCHF plus a bit of ex, plus one small daily dose of Insulatard (slow-acting basal insulin) every morning.
"
comment 8: ,"LucySW said:
				
					↑

Trying again tomorrow with 2 unitsClick to expand...

Sounds like a good plan. 
And if you can keep your BG levels to dr Bernstein's 4.6 pre breakfast and 5.6 Max 2hr after eating you might, just might, even find your beta cells start to regrow a little, little evidence I know, but dr Bernstein has found it to occur in some patients.... So worth pursuing if you can. 

I am managing to keep below 5.6 2 hr after eating but struggling to get down to 4.6 in the morning, unless I go for a 20min run at 9:00 at night, then I can. 20min hard exercise in the evening reduces my BG by 0.5 to 0.75. Even if my evening meal has zero carbs (buttered mushrooms) my BG levels still increase through the evening / night (unless I go for a run).... I can only assume It is down to protein eaten during the day. 


Diagnosed T2 in sept 2013, BS levels 20+. BMI 22, age 58. Requested a GAD test in November, came back very high 2,000+, doc said I would be T1 within weeks, but presently still LADA. On a LcHf diet taking no insulin or medication, and striving to keep my BS readings as low as possible in order to keep as many insulin making pancreas beta cells as possible for as long as I can.
Sent from the Diabetes Forum App
"
